//Arvore Folhas Frente
-1.7;0.4;-0.6;0.0;0.5;0.5;0.0;0.0
-1.1;0.4;-0.6;0.0;0.5;0.5;1.0;0.0
-1.4;1.4;-0.4;0.0;0.5;0.5;1.0;1.0
//Arvore Folhas Tras
-1.7;0.4;-0.2;0.0;0.5;0.5;0.0;0.0
-1.1;0.4;-0.2;0.0;0.5;0.5;1.0;0.0
-1.4;1.4;-0.4;0.0;0.5;0.5;1.0;1.0
//Arvore Folhas Esquerda
-1.7;0.4;-0.2;0.0;0.5;0.5;0.0;0.0
-1.7;0.4;-0.6;0.0;0.5;0.5;1.0;0.0
-1.4;1.4;-0.4;0.0;0.5;0.5;1.0;1.0
//Arvore Folhas Direita
-1.1;0.4;-0.2;0.0;0.5;0.5;0.0;0.0
-1.1;0.4;-0.6;0.0;0.5;0.5;0.0;0.0
-1.4;1.4;-0.4;0.0;0.5;0.5;0.0;1.0
//Chao grama
-1.5;-0.5;-1.5;0.0;0.5;0.5;0.0;1.0
1.5;-0.5;-1.5;0.0;0.5;0.5;1.0;1.0
1.5;-0.5;1.5;0.0;0.5;0.5;1.0;0.0
1.5;-0.5;1.5;0.0;0.5;0.5;1.0;0.0
-1.5;-0.5;1.5;0.0;0.5;0.5;0.0;0.0
-1.5;-0.5;-1.5;0.0;0.5;0.5;0.0;1.0


